Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
SPX251121C00200000,6/2/2025 10:00 AM,200,"5,653.15","5,748.70","5,766.80",0.00,0.00%,1,0,0.00%
SPX251121C01000000,1/21/2025 1:10 PM,1000,"5,042.30","4,992.40","5,024.70",0.00,0.00%,-,1,148.19%
SPX251121C01400000,5/28/2025 3:59 PM,1400,"4,492.97","4,574.40","4,592.00",0.00,0.00%,715,720,97.82%
SPX251121C01600000,5/5/2025 3:18 PM,1600,"4,076.18","4,378.90","4,396.60",0.00,0.00%,-,2,94.21%
SPX251121C02000000,1/21/2025 1:10 PM,2000,"4,082.43","4,028.90","4,061.30",0.00,0.00%,-,1,107.05%
SPX251121C02500000,5/19/2025 4:02 PM,2500,"3,492.49","3,500.90","3,518.20",0.00,0.00%,10,5,75.23%
SPX251121C03300000,5/22/2025 1:22 PM,3300,"2,613.30","2,725.20","2,740.60",0.00,0.00%,-,2,59.99%
SPX251121C03500000,5/13/2025 10:50 AM,3500,"2,442.94","2,534.80","2,539.90",0.00,0.00%,-,1,55.96%
SPX251121C03550000,4/17/2025 3:51 PM,3550,"1,826.90","2,437.10","2,461.10",0.00,0.00%,9,9,48.44%
SPX251121C03600000,4/3/2025 11:23 AM,3600,"1,929.79","2,151.30","2,175.30",0.00,0.00%,4,0,0.00%
SPX251121C03650000,4/3/2025 11:23 AM,3650,"1,882.72","2,103.70","2,127.70",0.00,0.00%,4,0,0.00%
SPX251121C03700000,4/16/2025 1:14 PM,3700,"1,733.20","2,292.70","2,316.70",0.00,0.00%,9,9,46.59%
SPX251121C03950000,4/28/2025 3:02 PM,3950,"1,665.84","2,034.50","2,043.90",0.00,0.00%,-,1,35.23%
SPX251121C04000000,6/3/2025 10:09 AM,4000,"2,014.45","2,050.20","2,055.80",0.00,0.00%,5,153,47.49%
SPX251121C04050000,5/19/2025 3:14 PM,4050,"1,990.18","2,002.90","2,008.00",0.00,0.00%,-,145,46.69%
SPX251121C04125000,4/3/2025 11:23 AM,4125,"1,443.94","1,656.60","1,680.60",0.00,0.00%,-,4,0.00%
SPX251121C04150000,4/3/2025 11:23 AM,4150,"1,421.37","1,633.40","1,657.40",0.00,0.00%,-,4,0.00%
