ContractName,Strike,Maturity,Close
SPXW240122C04150000,4150.0,2024-01-22,656.57
SPXW240122C04200000,4200.0,2024-01-22,634.27
SPXW240122C04300000,4300.0,2024-01-22,539.02
SPXW240122C04350000,4350.0,2024-01-22,445.83
SPXW240122C04400000,4400.0,2024-01-22,405.29
SPXW240122C04500000,4500.0,2024-01-22,340.2
SPXW240122C04550000,4550.0,2024-01-22,287.53
SPXW240122C04600000,4600.0,2024-01-22,237.77
SPXW240122C04625000,4625.0,2024-01-22,180.33
SPXW240122C04650000,4650.0,2024-01-22,187.87
SPXW240122C04700000,4700.0,2024-01-22,137.55
SPXW240122C04725000,4725.0,2024-01-22,111.57
SPXW240122C04750000,4750.0,2024-01-22,88.5
SPXW240122C04775000,4775.0,2024-01-22,65.0
SPXW240122C04800000,4800.0,2024-01-22,42.94
SPXW240122C04825000,4825.0,2024-01-22,22.6
SPXW240122C04850000,4850.0,2024-01-22,7.15
SPXW240122C04875000,4875.0,2024-01-22,1.45
SPXW240122C04900000,4900.0,2024-01-22,0.2
SPXW240122C04925000,4925.0,2024-01-22,0.07
SPXW240122C04950000,4950.0,2024-01-22,0.05
SPXW240122C04975000,4975.0,2024-01-22,0.05
SPXW240122C05000000,5000.0,2024-01-22,0.05
SPXW240122C05025000,5025.0,2024-01-22,0.05
SPXW240122C05050000,5050.0,2024-01-22,0.05
SPXW240122C05100000,5100.0,2024-01-22,0.05
SPXW240123C04500000,4500.0,2024-01-23,287.91
SPXW240123C04550000,4550.0,2024-01-23,284.16
SPXW240123C04650000,4650.0,2024-01-23,188.31
SPXW240123C04725000,4725.0,2024-01-23,113.35
SPXW240123C04750000,4750.0,2024-01-23,89.57
SPXW240123C04775000,4775.0,2024-01-23,67.05
SPXW240123C04800000,4800.0,2024-01-23,46.66
SPXW240123C04825000,4825.0,2024-01-23,27.2
SPXW240123C04850000,4850.0,2024-01-23,11.85
SPXW240123C04875000,4875.0,2024-01-23,4.0
SPXW240123C04900000,4900.0,2024-01-23,1.07
SPXW240123C04925000,4925.0,2024-01-23,0.27
SPXW240123C04950000,4950.0,2024-01-23,0.18
SPXW240123C04975000,4975.0,2024-01-23,0.1
SPXW240123C05000000,5000.0,2024-01-23,0.1
SPXW240123C05025000,5025.0,2024-01-23,0.07
SPXW240123C05050000,5050.0,2024-01-23,0.08
SPXW240123C05100000,5100.0,2024-01-23,0.05
SPXW240123C05125000,5125.0,2024-01-23,0.05
SPXW240123C05200000,5200.0,2024-01-23,0.05
SPXW240123C05600000,5600.0,2024-01-23,0.05
SPXW240124C04550000,4550.0,2024-01-24,288.14
SPXW240124C04600000,4600.0,2024-01-24,215.32
SPXW240124C04650000,4650.0,2024-01-24,188.98
SPXW240124C04700000,4700.0,2024-01-24,134.95
SPXW240124C04725000,4725.0,2024-01-24,110.06
SPXW240124C04750000,4750.0,2024-01-24,89.62
SPXW240124C04775000,4775.0,2024-01-24,67.74
SPXW240124C04800000,4800.0,2024-01-24,49.9
SPXW240124C04825000,4825.0,2024-01-24,29.8
SPXW240124C04850000,4850.0,2024-01-24,16.24
SPXW240124C04875000,4875.0,2024-01-24,6.75
SPXW240124C04900000,4900.0,2024-01-24,2.5
SPXW240124C04925000,4925.0,2024-01-24,0.65
SPXW240124C04950000,4950.0,2024-01-24,0.25
SPXW240124C04975000,4975.0,2024-01-24,0.15
SPXW240124C05000000,5000.0,2024-01-24,0.12
SPXW240124C05025000,5025.0,2024-01-24,0.1
SPXW240124C05050000,5050.0,2024-01-24,0.1
